,Date,FTSE 100,FTSE 250,FTSE 350,FTSE SmallCap,FTSE AllShare,FTSE Fledgling,FTSE AllSmall,FTSE AIM UK 50 Index,FTSE AIM 100 INDEX,FTSE AIM All-Share
,20/10/1997,"5,211.02","4,908.48","2,511.08","2,397.97","2,454.50","1,309.40",,,,"1,013.33"
,21/10/1997,"5,225.91","4,918.57","2,517.87","2,402.14","2,460.98","1,310.92",,,,"1,013.69"
,22/10/1997,"5,148.76","4,916.56","2,487.68","2,405.45","2,433.62","1,311.73",,,,"1,013.76"
,23/10/1997,"4,991.47","4,826.98","2,417.67","2,377.47","2,367.80","1,295.88",,,,"1,010.47"
,24/10/1997,"4,970.20","4,836.70","2,410.36","2,380.44","2,361.32","1,297.01",,,,"1,011.41"
,27/10/1997,"4,840.72","4,767.57","2,353.20","2,362.91","2,307.92","1,287.91",,,,"1,008.71"
,28/10/1997,"4,755.39","4,528.37","2,296.37","2,257.47","2,248.95","1,225.22",,,,965.91
,30/10/1997,"4,801.92","4,623.96","2,323.91","2,305.55","2,277.32","1,258.30",,,,983.70
,31/10/1997,"4,842.33","4,643.23","2,341.53","2,312.25","2,293.87","1,261.68",,,,986.63
,03/11/1997,"4,906.39","4,663.55","2,368.43","2,320.24","2,318.98","1,267.68",,,,989.38
,04/11/1997,"4,897.43","4,674.82","2,366.07","2,321.70","2,316.92","1,271.28",,,,991.54
,05/11/1997,"4,908.32","4,686.78","2,371.48","2,325.30","2,322.11","1,272.87",,,,995.12
,06/11/1997,"4,863.79","4,680.41","2,353.55","2,322.91","2,305.56","1,273.97",,,,995.78
,07/11/1997,"4,764.35","4,638.51","2,310.75","2,307.93","2,265.46","1,264.97",,,,993.19
,10/11/1997,"4,806.75","4,640.81","2,327.46","2,310.61","2,280.91","1,264.31",,,,992.83
,11/11/1997,"4,793.72","4,635.56","2,321.88","2,309.68","2,275.74","1,263.03",,,,989.52
,12/11/1997,"4,720.37","4,581.11","2,287.98","2,291.83","2,243.58","1,254.52",,,,986.14
,13/11/1997,"4,711.00","4,563.33","2,282.58","2,288.62","2,238.43","1,251.84",,,,986.34
,14/11/1997,"4,741.83","4,586.55","2,296.86","2,286.59","2,251.34","1,252.26",,,,985.67
,17/11/1997,"4,867.03","4,625.77","2,349.40","2,288.08","2,299.43","1,255.33",,,,984.11
,18/11/1997,"4,845.37","4,623.40","2,340.74","2,279.99","2,290.99","1,251.07",,,,983.00
,19/11/1997,"4,830.11","4,630.33","2,335.50","2,275.63","2,285.91","1,249.11",,,,983.83
,20/11/1997,"4,908.43","4,642.30","2,367.12","2,274.70","2,314.73","1,249.44",,,,982.94
,21/11/1997,"4,985.82","4,665.70","2,399.52","2,279.01","2,344.62","1,253.00",,,,981.44
,24/11/1997,"4,898.64","4,645.72","2,363.66","2,266.05","2,310.99","1,244.39",,,,975.67
,25/11/1997,"4,863.53","4,631.32","2,348.59","2,260.89","2,296.88","1,237.95",,,,972.25
,26/11/1997,"4,891.20","4,651.81","2,361.37","2,266.09","2,308.90","1,237.58",,,,969.93
,27/11/1997,"4,889.01","4,658.26","2,361.16","2,269.98","2,308.97","1,237.91",,,,967.71
,28/11/1997,"4,831.77","4,656.71","2,338.76","2,272.15","2,288.64","1,240.15",,,,967.55
,01/12/1997,"4,921.78","4,657.63","2,373.83","2,273.13","2,320.76","1,241.28",,,,967.06
,02/12/1997,"4,977.59","4,668.37","2,396.58","2,275.01","2,341.68","1,243.62",,,,970.63
,03/12/1997,"4,970.65","4,692.39","2,396.26","2,278.94","2,341.65","1,244.50",,,,969.10
,04/12/1997,"5,082.32","4,724.54","2,442.84","2,291.42","2,385.05","1,247.63",,,,970.58
,05/12/1997,"5,142.91","4,751.28","2,469.03","2,296.50","2,409.33","1,248.53",,,,975.93
,08/12/1997,"5,187.41","4,780.98","2,489.27","2,304.29","2,428.34","1,251.62",,,,978.26
,09/12/1997,"5,177.06","4,781.64","2,485.31","2,305.59","2,424.81","1,252.86",,,,976.83
,10/12/1997,"5,130.67","4,769.28","2,466.04","2,305.10","2,407.16","1,252.25",,,,970.67
,11/12/1997,"5,035.87","4,753.75","2,427.65","2,298.82","2,371.64","1,249.89",,,,973.67
,12/12/1997,"5,045.22","4,757.92","2,431.69","2,300.55","2,375.46","1,253.03",,,,974.80
,15/12/1997,"5,121.83","4,762.96","2,461.99","2,299.93","2,403.11","1,253.93",,,,974.15
,16/12/1997,"5,203.44","4,757.03","2,493.14","2,298.81","2,431.52","1,255.17",,,,973.66
